workload	opcode	origin	visit	types	memory	action	type_idx	new_type	count	share_percent
TOTAL	G_SHL	initial	revisit	i16,i32	-	WidenScalar	0	i32	287	0.011086
TOTAL	G_SELECT	initial	revisit	p0,i32	-	Legal	0	-	285	0.011008
TOTAL	G_FPTOSI	initial	first	i32,f64	-	Legal	0	-	261	0.010081
TOTAL	G_STORE	initial	revisit	i32,p0	i32@32@not_atomic@not_atomic	Legal	0	-	260	0.010043
TOTAL	G_ZEXTLOAD	initial	first	i64,p0	i16@16@not_atomic@not_atomic	Legal	0	-	260	0.010043
TOTAL	G_LOAD	initial	first	i32,p0	i8@8@not_atomic@not_atomic	Legal	0	-	259	0.010004
TOTAL	G_TRUNC	initial	first	i8,i64	-	Legal	0	-	252	0.009734
TOTAL	G_UDIV	generated	first	i32	-	Legal	0	-	249	0.009618
TOTAL	G_UREM	initial	first	i32	-	Lower	0	-	249	0.009618
TOTAL	G_AND	initial	first	i64	-	Legal	0	-	247	0.009541
TOTAL	G_ZEXTLOAD	initial	first	i32,p0	i8@16@not_atomic@not_atomic	Legal	0	-	227	0.008768
TOTAL	G_MEMCPY	initial	first	p0,p0,i64	s8@64@not_atomic@not_atomic,s8@64@not_atomic@not_atomic	Libcall	0	-	207	0.007995
TOTAL	G_LOAD	initial	first	i16,p0	i16@64@not_atomic@not_atomic	Legal	0	-	203	0.007841
TOTAL	G_MEMCPY	initial	first	p0,p0,i64	s8@8@not_atomic@not_atomic,s8@8@not_atomic@not_atomic	Libcall	0	-	193	0.007455
TOTAL	G_LSHR	initial	first	i8,i8	-	WidenScalar	1	i32	191	0.007377
TOTAL	G_LSHR	initial	revisit	i8,i32	-	WidenScalar	0	i32	191	0.007377
TOTAL	G_UDIV	initial	first	i64	-	Legal	0	-	180	0.006953
TOTAL	G_PHI	initial	first	i64	-	Legal	0	-	179	0.006914
TOTAL	G_STORE	initial	first	s128,p0	s128@8@not_atomic@not_atomic	Legal	0	-	176	0.006798
TOTAL	G_LSHR	initial	first	i64,i64	-	Legal	0	-	175	0.006759
TOTAL	G_SELECT	initial	revisit	i64,i32	-	Legal	0	-	170	0.006566
TOTAL	G_PHI	initial	first	f32	-	Legal	0	-	169	0.006528
TOTAL	G_UDIV	initial	first	i32	-	Legal	0	-	165	0.006373
