workload	opcode	result_type	operand_types	count	share_percent
ClamAV	call	double	ptr,ptr	3	0.001722
ClamAV	call	i1	ptr,ptr,ptr	3	0.001722
ClamAV	call	i32	ptr,i16,ptr	3	0.001722
ClamAV	call	i32	ptr,i32,i64,ptr	3	0.001722
ClamAV	call	i32	ptr,i32,ptr,ptr,i32,i32,i32,ptr,i32,ptr	3	0.001722
ClamAV	call	i32	ptr,i64,ptr,i64,ptr	3	0.001722
ClamAV	call	i32	ptr,i64,ptr,ptr	3	0.001722
ClamAV	call	i32	ptr,i8,i8,ptr	3	0.001722
ClamAV	call	i32	ptr,ptr,ptr,i16,ptr,i16,ptr	3	0.001722
ClamAV	call	i32	ptr,ptr,ptr,i32,i16,i16,i16,i32,i32,ptr,i8,ptr	3	0.001722
ClamAV	call	i32	ptr,ptr,ptr,i32,ptr,ptr	3	0.001722
ClamAV	call	i64	i32,ptr,i64,i32,ptr	3	0.001722
ClamAV	call	i64	i64,ptr	3	0.001722
ClamAV	call	i64	ptr,i64,ptr	3	0.001722
ClamAV	call	ptr	i32,i32,i32,i32,i32,i64,ptr,ptr,ptr	3	0.001722
ClamAV	call	ptr	i32,i32,i32,i32,ptr,ptr,ptr	3	0.001722
ClamAV	call	ptr	ptr,i32,ptr,ptr,i64,ptr	3	0.001722
ClamAV	call	ptr	ptr,ptr,ptr,i32,ptr	3	0.001722
ClamAV	call	ptr	ptr,ptr,ptr,i64,ptr	3	0.001722
ClamAV	call	void	ptr,i32,i16,ptr	3	0.001722
ClamAV	call	void	ptr,i32,i32,i32,i32,i32,ptr	3	0.001722
ClamAV	call	void	ptr,i64,i64,ptr,ptr	3	0.001722
ClamAV	call	void	ptr,ptr,i32,ptr,ptr,ptr	3	0.001722
ClamAV	lshr	i8	i8,i8	3	0.001722
ClamAV	phi	i1	i1,i1,i1,i1,i1	3	0.001722
ClamAV	sext	i64	i8	3	0.001722
ClamAV	switch	void	i32,label,label,label,label,label,label,label,label,label,label,label,label	3	0.001722
ClamAV	switch	void	i32,label,label,label,label,label,label,label,label,label,label,label,label,label	3	0.001722
ClamAV	ashr	i64	i64,i64	2	0.001148
ClamAV	call	i16	i16,ptr	2	0.001148
ClamAV	call	i1	i32,ptr,ptr	2	0.001148
ClamAV	call	i32	i32,i32,i64,ptr	2	0.001148
ClamAV	call	i32	i32,ptr,i16,i8,ptr,ptr	2	0.001148
ClamAV	call	i32	i32,ptr,i32,i32,i16,i8,ptr,ptr,ptr,ptr	2	0.001148
ClamAV	call	i32	i32,ptr,i32,i8,ptr	2	0.001148
ClamAV	call	i32	i32,ptr,i64,ptr,i32,ptr,ptr	2	0.001148
ClamAV	call	i32	i32,ptr,ptr,i64,ptr	2	0.001148
ClamAV	call	i32	i32,ptr,ptr,ptr,ptr	2	0.001148
ClamAV	call	i32	i32,ptr,ptr,ptr,ptr,i32,ptr	2	0.001148
ClamAV	call	i32	i32,ptr,ptr,ptr,ptr,ptr,i32,ptr	2	0.001148
ClamAV	call	i32	ptr,i32,i32,i32,i32,i32,ptr,i32,ptr	2	0.001148
ClamAV	call	i32	ptr,i32,i32,ptr,i32,ptr,ptr,i32,ptr,ptr	2	0.001148
ClamAV	call	i32	ptr,i32,ptr,i32,ptr,i32,ptr	2	0.001148
ClamAV	call	i32	ptr,i32,ptr,ptr,ptr,ptr,i32,ptr	2	0.001148
ClamAV	call	i32	ptr,i64,i32,ptr,ptr	2	0.001148
ClamAV	call	i32	ptr,i64,i64,i32,ptr,ptr	2	0.001148
ClamAV	call	i32	ptr,ptr,i32,i32,ptr,i32,i32,i32,i32,ptr	2	0.001148
ClamAV	call	i32	ptr,ptr,i64,i64,ptr	2	0.001148
ClamAV	call	i32	ptr,ptr,i64,ptr,ptr	2	0.001148
ClamAV	call	i32	ptr,ptr,i8,ptr,ptr,ptr	2	0.001148
ClamAV	call	i32	ptr,ptr,ptr,i32,i32,ptr	2	0.001148
ClamAV	call	i32	ptr,ptr,ptr,i64,ptr	2	0.001148
ClamAV	call	i32	ptr,ptr,ptr,ptr,i32,ptr,i32,ptr	2	0.001148
ClamAV	call	i32	ptr,ptr,ptr,ptr,i32,ptr,ptr	2	0.001148
ClamAV	call	i64	i32,ptr,ptr,i64,ptr	2	0.001148
ClamAV	call	i8	i32,ptr	2	0.001148
ClamAV	call	i8	i8,i8,ptr,ptr,ptr	2	0.001148
ClamAV	call	i8	ptr,i32,ptr	2	0.001148
ClamAV	call	ptr	i32,ptr,ptr,ptr,i64,ptr	2	0.001148
ClamAV	call	ptr	ptr,i32,ptr,ptr,ptr,ptr	2	0.001148
ClamAV	call	ptr	ptr,i64,ptr,ptr	2	0.001148
ClamAV	call	ptr	ptr,i8,i64,ptr	2	0.001148
ClamAV	call	ptr	ptr,ptr,i32,ptr,ptr,ptr,ptr,i32,ptr	2	0.001148
ClamAV	call	ptr	ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr,i32,ptr	2	0.001148
ClamAV	call	void	ptr,i16,ptr	2	0.001148
ClamAV	call	void	ptr,i32,i32,ptr,ptr	2	0.001148
ClamAV	call	void	ptr,i64,i64,i64,ptr,ptr	2	0.001148
ClamAV	call	void	ptr,ptr,i32,i64,ptr	2	0.001148
ClamAV	call	void	ptr,ptr,i64,i64,ptr	2	0.001148
ClamAV	call	void	ptr,ptr,ptr,ptr,ptr	2	0.001148
ClamAV	phi	i1	i1,i1,i1,i1,i1,i1,i1,i1,i1	2	0.001148
ClamAV	srem	i64	i64,i64	2	0.001148
ClamAV	store	void	double,ptr	2	0.001148
ClamAV	switch	void	i32,label,label,label,label,label,label,label,label,label,label	2	0.001148
ClamAV	switch	void	i32,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label	2	0.001148
ClamAV	switch	void	i32,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label	2	0.001148
ClamAV	switch	void	i32,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label	2	0.001148
ClamAV	switch	void	i32,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label	2	0.001148
ClamAV	switch	void	i64,label,label,label	2	0.001148
ClamAV	switch	void	i64,label,label,label,label	2	0.001148
ClamAV	switch	void	i64,label,label,label,label,label,label,label,label	2	0.001148
ClamAV	switch	void	i64,label,label,label,label,label,label,label,label,label,label	2	0.001148
ClamAV	alloca	ptr	i64	1	0.000574
ClamAV	call	i32	i32,i32,i32,ptr,ptr,ptr	1	0.000574
ClamAV	call	i32	i32,i32,ptr,ptr	1	0.000574
ClamAV	call	i32	i32,i64,i32,ptr,i64,ptr,ptr,ptr	1	0.000574
ClamAV	call	i32	i32,i64,ptr,ptr	1	0.000574
ClamAV	call	i32	i32,i64,ptr,ptr,ptr	1	0.000574
ClamAV	call	i32	i32,ptr,i16,ptr	1	0.000574
ClamAV	call	i32	i32,ptr,i32,i32,i32,i32,i32,i32,ptr,ptr,i32,ptr	1	0.000574
ClamAV	call	i32	i32,ptr,i32,ptr,i32,i32,i32,i32,i32,ptr	1	0.000574
ClamAV	call	i32	i32,ptr,i64,ptr,i64,ptr	1	0.000574
ClamAV	call	i32	i32,ptr,ptr,ptr,ptr,ptr,i64,ptr	1	0.000574
ClamAV	call	i32	i8,ptr,ptr,ptr,ptr,i32,ptr	1	0.000574
ClamAV	call	i32	ptr,double,ptr	1	0.000574
ClamAV	call	i32	ptr,i16,i16,i32,i64,ptr	1	0.000574
ClamAV	call	i32	ptr,i16,i16,i32,ptr,ptr,i64,ptr	1	0.000574
ClamAV	call	i32	ptr,i32,i16,ptr,ptr,ptr	1	0.000574
ClamAV	call	i32	ptr,i32,i32,i32,i32,i32,ptr,i32,i16,ptr	1	0.000574
ClamAV	call	i32	ptr,i32,i32,i32,i32,ptr,i32,ptr,i32,ptr	1	0.000574
ClamAV	call	i32	ptr,i32,i32,ptr,i32,i32,i32,i32,i32,i32,i32,ptr	1	0.000574
ClamAV	call	i32	ptr,i32,i32,ptr,ptr	1	0.000574
ClamAV	call	i32	ptr,i32,i32,ptr,ptr,ptr	1	0.000574
ClamAV	call	i32	ptr,i32,ptr,i16,i32,i32,i32,ptr	1	0.000574
ClamAV	call	i32	ptr,i32,ptr,i32,i32,i32,ptr	1	0.000574
ClamAV	call	i32	ptr,i32,ptr,i32,i32,i32,ptr,ptr	1	0.000574
ClamAV	call	i32	ptr,i32,ptr,ptr,ptr	1	0.000574
ClamAV	call	i32	ptr,i64,ptr,double,ptr	1	0.000574
ClamAV	call	i32	ptr,i64,ptr,ptr,i32,i64,ptr	1	0.000574
ClamAV	call	i32	ptr,i64,ptr,ptr,i32,ptr,ptr	1	0.000574
ClamAV	call	i32	ptr,i64,ptr,ptr,i64,ptr	1	0.000574
ClamAV	call	i32	ptr,i64,ptr,ptr,ptr,ptr,ptr	1	0.000574
ClamAV	call	i32	ptr,ptr,i32,i32,i32,ptr	1	0.000574
ClamAV	call	i32	ptr,ptr,i32,ptr,i32,ptr	1	0.000574
ClamAV	call	i32	ptr,ptr,i32,ptr,ptr,ptr,ptr	1	0.000574
ClamAV	call	i32	ptr,ptr,i64,i64,i64,ptr	1	0.000574
ClamAV	call	i32	ptr,ptr,ptr,i32,i32,i32,i32,ptr	1	0.000574
ClamAV	call	i32	ptr,ptr,ptr,i64,i32,ptr	1	0.000574
ClamAV	call	i32	ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr	1	0.000574
ClamAV	call	i64	i32,i32,i64,ptr	1	0.000574
ClamAV	call	i64	ptr	1	0.000574
ClamAV	call	i64	ptr,i32,ptr	1	0.000574
ClamAV	call	i64	ptr,i64,i32,ptr	1	0.000574
ClamAV	call	i64	ptr,ptr,i32,i32,ptr,ptr,ptr	1	0.000574
ClamAV	call	i64	ptr,ptr,i32,ptr,ptr	1	0.000574
ClamAV	call	ptr	i32,i32,i32,i8,ptr	1	0.000574
ClamAV	call	ptr	i32,i32,ptr,ptr	1	0.000574
ClamAV	call	ptr	i32,i64,ptr,ptr	1	0.000574
ClamAV	call	ptr	i32,ptr,ptr,ptr	1	0.000574
ClamAV	call	ptr	i32,ptr,ptr,ptr,ptr,ptr	1	0.000574
ClamAV	call	ptr	ptr,i8,i32,ptr	1	0.000574
ClamAV	call	ptr	ptr,i8,ptr,ptr	1	0.000574
ClamAV	call	ptr	ptr,ptr,ptr,ptr,ptr	1	0.000574
ClamAV	call	void	i64,ptr,ptr	1	0.000574
ClamAV	call	void	i8,i8,ptr	1	0.000574
ClamAV	call	void	ptr,i64,i64,i32,i32,ptr	1	0.000574
ClamAV	call	void	ptr,i64,i64,i64,i32,ptr	1	0.000574
ClamAV	call	void	ptr,i64,i64,i64,ptr,ptr,ptr	1	0.000574
ClamAV	call	void	ptr,i64,ptr,ptr	1	0.000574
ClamAV	call	void	ptr,i64,ptr,ptr,ptr	1	0.000574
ClamAV	call	void	ptr,i8,i64,ptr,ptr	1	0.000574
ClamAV	call	void	ptr,ptr,i32,i32,i32,i32,i32,i32,i32,i32,ptr	1	0.000574
ClamAV	call	void	ptr,ptr,i32,i32,i32,ptr	1	0.000574
ClamAV	call	void	ptr,ptr,i32,ptr,i32,i32,ptr,i32,ptr,i32,i32,ptr	1	0.000574
ClamAV	call	void	ptr,ptr,i32,ptr,i32,ptr	1	0.000574
ClamAV	call	void	ptr,ptr,i32,ptr,ptr	1	0.000574
ClamAV	call	void	ptr,ptr,i64,i64,i64,i64,ptr	1	0.000574
ClamAV	call	void	ptr,ptr,i64,ptr,i64,ptr	1	0.000574
ClamAV	call	void	ptr,ptr,ptr,i32,i32,ptr	1	0.000574
ClamAV	call	void	ptr,ptr,ptr,i32,ptr,ptr,ptr,i32,ptr,ptr	1	0.000574
ClamAV	call	void	ptr,ptr,ptr,ptr,i32,i32,i32,ptr	1	0.000574
ClamAV	fdiv	double	double,double	1	0.000574
ClamAV	fmul	double	double,double	1	0.000574
ClamAV	fptosi	i32	double	1	0.000574
ClamAV	fptoui	i8	double	1	0.000574
ClamAV	fsub	double	double,double	1	0.000574
ClamAV	ret	void	double	1	0.000574
ClamAV	switch	void	i32,label,label,label,label,label,label,label,label,label,label,label	1	0.000574
ClamAV	switch	void	i32,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label	1	0.000574
ClamAV	switch	void	i32,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label	1	0.000574
ClamAV	switch	void	i32,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label	1	0.000574
ClamAV	switch	void	i32,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label	1	0.000574
ClamAV	switch	void	i32,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label	1	0.000574
ClamAV	switch	void	i32,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label	1	0.000574
ClamAV	switch	void	i32,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label	1	0.000574
ClamAV	switch	void	i32,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label,label	1	0.000574
ClamAV	switch	void	i64,label,label,label,label,label,label,label	1	0.000574
ClamAV	uitofp	double	i64	1	0.000574
consumer-typeset	load	ptr	ptr	54195	22.411020
consumer-typeset	getelementptr	ptr	ptr,i32,i32	49911	20.639476
consumer-typeset	getelementptr	ptr	ptr,i64,i64	20762	8.585618
consumer-typeset	store	void	ptr,ptr	19912	8.234122
consumer-typeset	br	void	label	16246	6.718137
consumer-typeset	load	i32	ptr	11133	4.603780
consumer-typeset	br	void	i1,label,label	9830	4.064957
consumer-typeset	load	i8	ptr	5504	2.276045
consumer-typeset	icmp	i1	i32,i32	5318	2.199129
consumer-typeset	store	void	i32,ptr	4772	1.973344
consumer-typeset	zext	i32	i8	4743	1.961352
consumer-typeset	sext	i64	i32	4475	1.850527
consumer-typeset	icmp	i1	ptr,ptr	4076	1.685530
consumer-typeset	alloca	ptr	i32	3286	1.358845
consumer-typeset	phi	ptr	ptr,ptr	2079	0.859720
consumer-typeset	load	i16	ptr	1845	0.762955
consumer-typeset	and	i32	i32,i32	1471	0.608296
consumer-typeset	store	void	i8,ptr	1451	0.600026
consumer-typeset	and	i16	i16,i16	1423	0.588447
consumer-typeset	add	i32	i32,i32	1005	0.415593
consumer-typeset	zext	i32	i16	991	0.409804
consumer-typeset	store	void	i16,ptr	988	0.408563
consumer-typeset	call	ptr	i32,i32,ptr,i32,ptr,ptr	770	0.318415
consumer-typeset	call	ptr	i32,i32,ptr,i32,ptr,ptr,ptr	745	0.308077
consumer-typeset	and	i8	i8,i8	709	0.293190
consumer-typeset	or	i16	i16,i16	602	0.248942
consumer-typeset	getelementptr	ptr	ptr,i64	599	0.247702
consumer-typeset	lshr	i16	i16,i16	591	0.244394
consumer-typeset	icmp	i1	i64,i64	590	0.243980
consumer-typeset	call	i32	ptr,ptr,ptr	569	0.235296
consumer-typeset	call	ptr	i32,ptr,ptr	558	0.230747
consumer-typeset	phi	i32	i32,i32	551	0.227853
consumer-typeset	or	i32	i32,i32	528	0.218342
consumer-typeset	sub	i32	i32,i32	473	0.195598
consumer-typeset	zext	i64	i8	435	0.179884
consumer-typeset	trunc	i16	i32	367	0.151764
consumer-typeset	lshr	i32	i32,i32	359	0.148456
consumer-typeset	call	i32	ptr,ptr	314	0.129847
consumer-typeset	shl	i32	i32,i32	305	0.126125
consumer-typeset	trunc	i8	i32	291	0.120336
consumer-typeset	or	i8	i8,i8	289	0.119509
consumer-typeset	shl	i16	i16,i16	287	0.118682
consumer-typeset	ret	void	-	251	0.103795
consumer-typeset	call	ptr	ptr,ptr,ptr	238	0.098419
consumer-typeset	phi	i1	i1,i1	199	0.082292
consumer-typeset	getelementptr	ptr	ptr,i32	192	0.079397
consumer-typeset	zext	i32	i1	175	0.072367
consumer-typeset	lshr	i8	i8,i8	174	0.071953
consumer-typeset	call	void	ptr,ptr	167	0.069059
consumer-typeset	zext	i64	i32	164	0.067818
consumer-typeset	call	ptr	i32,ptr,ptr,ptr	158	0.065337
consumer-typeset	call	ptr	ptr,ptr	151	0.062442
consumer-typeset	sext	i32	i16	148	0.061202
consumer-typeset	load	float	ptr	144	0.059548
consumer-typeset	ret	void	ptr	135	0.055826
consumer-typeset	shl	i8	i8,i8	128	0.052931
consumer-typeset	mul	i32	i32,i32	120	0.049623
consumer-typeset	call	ptr	i32,ptr	117	0.048382
consumer-typeset	call	i64	ptr,ptr	116	0.047969
consumer-typeset	call	ptr	ptr,i32,i32,i32,i32,i8,ptr	114	0.047142
consumer-typeset	call	void	ptr,ptr,ptr	110	0.045488
consumer-typeset	call	i32	ptr,ptr,ptr,ptr	106	0.043834
consumer-typeset	call	ptr	ptr	106	0.043834
consumer-typeset	sitofp	float	i32	102	0.042180
consumer-typeset	call	ptr	i32,i32,ptr,i32,ptr,ptr,ptr,ptr	100	0.041353
consumer-typeset	sdiv	i32	i32,i32	94	0.038871
consumer-typeset	call	ptr	ptr,ptr,ptr,ptr,ptr,ptr,ptr,i32,i32,ptr,i32,ptr	84	0.034736
consumer-typeset	call	void	ptr	84	0.034736
consumer-typeset	add	i64	i64,i64	81	0.033496
consumer-typeset	fpext	double	float	79	0.032669
consumer-typeset	call	ptr	i16,ptr	77	0.031841
consumer-typeset	trunc	i32	i64	74	0.030601
consumer-typeset	zext	i64	i1	69	0.028533
consumer-typeset	call	ptr	ptr,i32,ptr,ptr	68	0.028120
consumer-typeset	call	void	i32,ptr,ptr	68	0.028120
consumer-typeset	call	ptr	ptr,i32,ptr	60	0.024812
consumer-typeset	call	i32	i32,ptr,ptr	59	0.024398
consumer-typeset	store	void	float,ptr	59	0.024398
consumer-typeset	ptrtoint	i64	ptr	58	0.023984
consumer-typeset	sub	i64	i64,i64	58	0.023984
consumer-typeset	ret	void	i32	55	0.022744
consumer-typeset	call	ptr	ptr,ptr,ptr,ptr	54	0.022330
consumer-typeset	fptosi	i32	float	53	0.021917
consumer-typeset	call	i32	ptr	52	0.021503
consumer-typeset	call	i32	ptr,ptr,i32,ptr	52	0.021503
consumer-typeset	call	ptr	ptr,i32,i32,i32,i32,i32,i32,i32,ptr,ptr,ptr	51	0.021090
consumer-typeset	fdiv	float	float,float	49	0.020263
consumer-typeset	call	ptr	i64,ptr	48	0.019849
consumer-typeset	icmp	i1	i8,i8	39	0.016127
consumer-typeset	fmul	float	float,float	36	0.014887
consumer-typeset	load	i64	ptr	36	0.014887
consumer-typeset	mul	i64	i64,i64	36	0.014887
consumer-typeset	srem	i32	i32,i32	35	0.014473
consumer-typeset	load	double	ptr	34	0.014060
consumer-typeset	select	i32	i1,i32,i32	34	0.014060
consumer-typeset	select	ptr	i1,ptr,ptr	34	0.014060
consumer-typeset	call	void	ptr,i32,ptr	33	0.013646
consumer-typeset	call	void	i32,ptr	31	0.012819
consumer-typeset	call	void	ptr,i32,i32,ptr	31	0.012819
consumer-typeset	call	void	ptr,ptr,i32,ptr,ptr	30	0.012406
consumer-typeset	call	void	ptr,i32,i32,i32,ptr	27	0.011165
consumer-typeset	call	i32	i32,i32,i32,ptr,ptr	26	0.010752
consumer-typeset	fcmp	i1	double,double	26	0.010752
consumer-typeset	call	i32	ptr,ptr,ptr,ptr,ptr	24	0.009925
consumer-typeset	store	void	double,ptr	24	0.009925
consumer-typeset	store	void	i64,ptr	23	0.009511
consumer-typeset	switch	void	i32,label,label,label,label	23	0.009511
consumer-typeset	call	ptr	i32,i32,ptr,i32,ptr,i32,ptr	22	0.009098
consumer-typeset	call	ptr	i32,i32,ptr,i32,ptr,ptr,i32,ptr	22	0.009098
consumer-typeset	call	ptr	i32,i32,ptr,i32,ptr,ptr,ptr,ptr,ptr	22	0.009098
consumer-typeset	call	ptr	ptr,i8,ptr,i8,i32,i32,i32,ptr,ptr,ptr	21	0.008684
consumer-typeset	call	ptr	ptr,ptr,i32,i32,ptr	21	0.008684
consumer-typeset	phi	i1	i1,i1,i1	20	0.008271
consumer-typeset	zext	i64	i16	20	0.008271
consumer-typeset	call	i16	ptr,ptr,ptr,i32,i32,ptr	19	0.007857
consumer-typeset	call	i32	ptr,ptr,double,ptr	19	0.007857
consumer-typeset	call	void	ptr,i32,ptr,i16,ptr	17	0.007030
consumer-typeset	call	ptr	i8,ptr,i8,i8,i8,ptr,ptr	16	0.006616
consumer-typeset	fmul	double	double,double	16	0.006616
consumer-typeset	fptrunc	float	double	16	0.006616
consumer-typeset	fneg	float	float	15	0.006203
consumer-typeset	fcmp	i1	float,float	14	0.005789
consumer-typeset	fptosi	i32	double	14	0.005789
consumer-typeset	sitofp	double	i32	14	0.005789
consumer-typeset	switch	void	i32,label,label,label,label,label	14	0.005789
consumer-typeset	xor	i1	i1,i1	14	0.005789
consumer-typeset	call	double	double,ptr	13	0.005376
consumer-typeset	call	void	ptr,ptr,ptr,ptr,ptr	12	0.004962
consumer-typeset	udiv	i64	i64,i64	12	0.004962
consumer-typeset	call	i32	ptr,ptr,ptr,ptr,ptr,ptr,ptr	11	0.004549
consumer-typeset	call	ptr	i32,i32,ptr,i32,ptr,ptr,ptr,ptr,ptr,ptr	11	0.004549
consumer-typeset	call	ptr	ptr,i32,ptr,i32,ptr	11	0.004549
consumer-typeset	call	i32	i32,ptr	10	0.004135
consumer-typeset	call	ptr	i16,i32,i32,ptr	10	0.004135
consumer-typeset	call	void	i32,i32,ptr	10	0.004135
consumer-typeset	call	void	ptr,i32,ptr,ptr,ptr,ptr,i16,i64,i32,i32,ptr	10	0.004135
consumer-typeset	call	void	ptr,ptr,ptr,ptr	10	0.004135
consumer-typeset	call	i32	i32,ptr,ptr,ptr	9	0.003722
consumer-typeset	call	ptr	ptr,i32,i32,ptr,ptr	9	0.003722
consumer-typeset	call	void	ptr,ptr,ptr,i32,ptr	9	0.003722
consumer-typeset	phi	float	float,float	9	0.003722
consumer-typeset	call	float	float,float,float,ptr	8	0.003308
consumer-typeset	call	i32	i32,i32,i32,ptr,i32,i32,ptr	8	0.003308
consumer-typeset	call	i32	ptr,i64,i32,ptr	8	0.003308
consumer-typeset	call	i8	ptr,i32,ptr	8	0.003308
consumer-typeset	call	ptr	i32,ptr,ptr,ptr,ptr	8	0.003308
consumer-typeset	call	void	ptr,i32,ptr,ptr,ptr	8	0.003308
consumer-typeset	fsub	double	double,double	8	0.003308
consumer-typeset	switch	void	i32,label,label,label,label,label,label	8	0.003308
consumer-typeset	call	i16	ptr,ptr,ptr	7	0.002895
consumer-typeset	call	i32	ptr,ptr,ptr,ptr,ptr,ptr	7	0.002895
consumer-typeset	call	ptr	ptr,ptr,ptr,i32,ptr	7	0.002895
consumer-typeset	call	void	ptr,i32,ptr,ptr	7	0.002895
consumer-typeset	call	void	ptr,ptr,i64,i1,ptr	7	0.002895
consumer-typeset	switch	void	i32,label,label,label,label,label,label,label	7	0.002895
consumer-typeset	switch	void	i32,label,label,label,label,label,label,label,label,label	7	0.002895
consumer-typeset	unreachable	void	-	7	0.002895
consumer-typeset	call	i32	ptr,ptr,i32,i32,ptr	6	0.002481
consumer-typeset	call	i32	ptr,ptr,ptr,i32,ptr	6	0.002481
consumer-typeset	call	ptr	i16,i64,i32,ptr	6	0.002481
consumer-typeset	call	ptr	i32,i32,ptr,i32,ptr,ptr,ptr,i32,ptr	6	0.002481
consumer-typeset	call	ptr	ptr,ptr,i32,i32,i32,i32,ptr	6	0.002481
consumer-typeset	call	ptr	ptr,ptr,i32,ptr	6	0.002481
consumer-typeset	call	void	i32,ptr,i32,ptr	6	0.002481
consumer-typeset	call	void	ptr,ptr,i32,i32,i32,i32,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr	6	0.002481
consumer-typeset	call	void	ptr,ptr,i32,ptr	6	0.002481
consumer-typeset	fadd	double	double,double	6	0.002481
consumer-typeset	ptrtoint	i32	ptr	6	0.002481
consumer-typeset	ret	void	i16	6	0.002481
consumer-typeset	urem	i32	i32,i32	6	0.002481
consumer-typeset	call	i16	i16,ptr	5	0.002068
consumer-typeset	call	i16	i32,ptr	5	0.002068
consumer-typeset	call	i16	ptr,ptr	5	0.002068
consumer-typeset	call	i32	i32,i32,ptr,ptr	5	0.002068
consumer-typeset	call	i32	ptr,i32,ptr,ptr,ptr,ptr,ptr,ptr,ptr,ptr	5	0.002068
consumer-typeset	call	ptr	ptr,i64,ptr	5	0.002068
consumer-typeset	call	void	i16,i32,i32,i32,i32,ptr	5	0.002068
consumer-typeset	call	void	ptr,i16,ptr,ptr,ptr	5	0.002068
consumer-typeset	fdiv	double	double,double	5	0.002068
consumer-typeset	urem	i64	i64,i64	5	0.002068
consumer-typeset	call	i32	i32,i32,ptr,i32,ptr	4	0.001654
consumer-typeset	call	i32	ptr,i32,ptr	4	0.001654
consumer-typeset	call	i32	ptr,ptr,double,double,ptr	4	0.001654
consumer-typeset	call	i32	ptr,ptr,i32,ptr,ptr	4	0.001654
consumer-typeset	call	ptr	ptr,i32,i32,ptr	4	0.001654
consumer-typeset	call	void	float,float,ptr	4	0.001654
consumer-typeset	call	void	ptr,i32,i32,float,ptr,ptr	4	0.001654
consumer-typeset	call	void	ptr,i32,ptr,ptr,ptr,ptr,ptr,ptr	4	0.001654
consumer-typeset	call	void	ptr,ptr,ptr,ptr,ptr,ptr	4	0.001654
consumer-typeset	call	void	ptr,ptr,ptr,ptr,ptr,ptr,ptr	4	0.001654
consumer-typeset	fadd	float	float,float	4	0.001654
consumer-typeset	phi	double	double,double	4	0.001654
consumer-typeset	phi	i1	i1,i1,i1,i1,i1	4	0.001654
consumer-typeset	switch	void	i32,label,label,label	4	0.001654
consumer-typeset	call	float	i32,i32,ptr	3	0.001241
consumer-typeset	call	float	ptr,ptr	3	0.001241
consumer-typeset	call	i32	i16,ptr	3	0.001241
consumer-typeset	call	i32	ptr,ptr,i32,i32,i32,i32,ptr	3	0.001241
consumer-typeset	call	i64	ptr	3	0.001241
consumer-typeset	call	i8	ptr,ptr,ptr	3	0.001241
consumer-typeset	call	ptr	i32,i32,ptr,i32,ptr,i32,i32,ptr	3	0.001241
consumer-typeset	call	ptr	i32,i32,ptr,i32,ptr,ptr,double,ptr	3	0.001241
consumer-typeset	call	ptr	i32,i32,ptr,i32,ptr,ptr,i32,i32,ptr	3	0.001241
consumer-typeset	call	ptr	i32,i32,ptr,i32,ptr,ptr,ptr,ptr,ptr,ptr,ptr	3	0.001241
consumer-typeset	call	ptr	ptr,ptr,ptr,ptr,ptr,ptr	3	0.001241
consumer-typeset	call	void	ptr,i32,i32,i32,i32,ptr	3	0.001241
consumer-typeset	call	void	ptr,ptr,i32,ptr,ptr,i32,ptr	3	0.001241
consumer-typeset	call	void	ptr,ptr,i8,ptr	3	0.001241
consumer-typeset	icmp	i1	i16,i16	3	0.001241
consumer-typeset	switch	void	i32,label,label,label,label,label,label,label,label	3	0.001241
consumer-typeset	switch	void	i32,label,label,label,label,label,label,label,label,label,label,label	3	0.001241
consumer-typeset	udiv	i32	i32,i32	3	0.001241
consumer-typeset	add	i16	i16,i16	2	0.000827
consumer-typeset	add	i8	i8,i8	2	0.000827
consumer-typeset	ashr	i32	i32,i32	2	0.000827
consumer-typeset	call	i32	ptr,i16,ptr,ptr	2	0.000827
consumer-typeset	call	i32	ptr,i32,i32,ptr,ptr,ptr	2	0.000827
consumer-typeset	call	i32	ptr,ptr,double,i32,ptr	2	0.000827
consumer-typeset	call	i32	ptr,ptr,i64,ptr	2	0.000827
