workload	kind	callee	calling_conv	is_vararg	is_tail	is_musttail	can_lower_return	features	return_type	arg_types	split_arg_types	count	share_percent
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i32,i32,ptr{pointer},i32	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},i32,i32,ptr{pointer},i32	84	0.050614
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},i32,ptr{pointer}	ptr{pointer},ptr{pointer},i32,ptr{pointer}	84	0.050614
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},i8	ptr{pointer},ptr{pointer},i8	84	0.050614
TOTAL	invoke	direct	0	0	0	0	1	-	void	ptr{pointer,sret},ptr{pointer},ptr{pointer}	ptr{pointer,sret},ptr{pointer},ptr{pointer}	84	0.050614
TOTAL	call	direct	0	0	0	0	1	-	i8	ptr{pointer}	ptr{pointer}	81	0.048806
TOTAL	invoke	direct	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer}	81	0.048806
TOTAL	call	indirect	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer}	78	0.046999
TOTAL	call	direct	0	0	0	0	1	-	%class.btVector3	ptr{pointer},i32	ptr{pointer},i32	77	0.046396
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	i16	i16	77	0.046396
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},i32	ptr{pointer},ptr{pointer},ptr{pointer},i32	77	0.046396
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},i32,i32,i32,i32,ptr{pointer},i32	ptr{pointer},i32,i32,i32,i32,ptr{pointer},i32	76	0.045794
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i16	ptr{pointer},i16	74	0.044589
TOTAL	call	direct	0	1	0	0	1	-	i32	ptr{pointer},i32{vararg}	ptr{pointer},i32{vararg}	74	0.044589
TOTAL	call	direct	0	0	0	0	1	-	float	ptr{pointer},i32,i32,i32,i32	ptr{pointer},i32,i32,i32,i32	72	0.043383
TOTAL	call	indirect	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer}	72	0.043383
TOTAL	invoke	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},i64	ptr{pointer},i64	72	0.043383
TOTAL	call	direct	0	0	0	0	1	-	double	ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer}	70	0.042178
TOTAL	call	direct	0	0	0	0	1	-	double	double	double	69	0.041576
TOTAL	call	direct	0	1	0	0	1	-	i32	ptr{pointer},ptr{pointer},ptr{pointer,vararg},i32{vararg}	ptr{pointer},ptr{pointer},ptr{pointer,vararg},i32{vararg}	69	0.041576
TOTAL	call	direct	0	0	0	0	1	-	i64	i64	i64	68	0.040973
TOTAL	call	direct	0	1	0	0	1	-	i32	ptr{pointer},ptr{pointer},ptr{pointer,vararg},ptr{pointer,vararg}	ptr{pointer},ptr{pointer},ptr{pointer,vararg},ptr{pointer,vararg}	68	0.040973
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},i1	ptr{pointer},ptr{pointer},i1	67	0.040371
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer,sret},ptr{pointer},ptr{pointer},i32	ptr{pointer,sret},ptr{pointer},ptr{pointer},i32	67	0.040371
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},float	ptr{pointer},float	66	0.039768
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},i32,ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},i32,ptr{pointer},ptr{pointer},ptr{pointer}	64	0.038563
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},i64,ptr{pointer}	ptr{pointer},i64,ptr{pointer}	64	0.038563
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	63	0.037960
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i32,ptr{pointer},ptr{pointer}	ptr{pointer},i32,ptr{pointer},ptr{pointer}	62	0.037358
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer},i32	ptr{pointer},ptr{pointer},ptr{pointer},i32	62	0.037358
TOTAL	call	direct	0	0	0	0	1	-	i16	ptr{pointer}	ptr{pointer}	61	0.036755
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer},float	ptr{pointer},ptr{pointer},ptr{pointer},float	61	0.036755
TOTAL	call	indirect	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},i32	ptr{pointer},i32	61	0.036755
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i1	ptr{pointer},i1	60	0.036153
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i64,i64	ptr{pointer},i64,i64	60	0.036153
TOTAL	call	direct	0	1	0	0	1	-	void	ptr{pointer},ptr{pointer,vararg},ptr{pointer,vararg}	ptr{pointer},ptr{pointer,vararg},ptr{pointer,vararg}	59	0.035550
TOTAL	call	indirect	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},i32,i32	ptr{pointer},i32,i32	59	0.035550
TOTAL	call	direct	0	0	0	0	1	-	double	double,double	double,double	58	0.034948
TOTAL	call	direct	0	0	0	0	1	-	i64	ptr{pointer},i64	ptr{pointer},i64	58	0.034948
TOTAL	invoke	indirect	0	0	0	0	1	-	void	ptr{pointer}	ptr{pointer}	58	0.034948
TOTAL	call	direct	0	0	0	0	1	-	i64	-	-	57	0.034345
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	56	0.033743
TOTAL	call	direct	0	0	0	0	1	-	[2 x i64]	ptr{pointer},i64	ptr{pointer},i64	55	0.033140
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},i32,i32,ptr{pointer},i32	ptr{pointer},i32,i32,ptr{pointer},i32	53	0.031935
TOTAL	call	direct	0	0	0	0	1	-	i32	ptr{pointer},i32,ptr{pointer},i32	ptr{pointer},i32,ptr{pointer},i32	53	0.031935
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},i64,ptr{pointer}	ptr{pointer},i64,ptr{pointer}	52	0.031332
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},i32,i32,i32,i32,i32,i32,i32,ptr{pointer},ptr{pointer}	ptr{pointer},i32,i32,i32,i32,i32,i32,i32,ptr{pointer},ptr{pointer}	51	0.030730
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer},ptr{pointer}	51	0.030730
TOTAL	call	direct	0	1	0	0	1	-	i32	ptr{pointer},i64,ptr{pointer}	ptr{pointer},i64,ptr{pointer}	50	0.030127
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer},i32,i32	ptr{pointer},ptr{pointer},ptr{pointer},i32,i32	49	0.029525
TOTAL	call	indirect	0	0	0	0	1	-	i32	ptr{pointer},i32,i32,i32,i32,i32	ptr{pointer},i32,i32,i32,i32,i32	49	0.029525
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	i64,ptr{pointer}	i64,ptr{pointer}	48	0.028922
TOTAL	call	direct	0	0	0	0	1	-	ptr{pointer}	ptr{pointer},i1	ptr{pointer},i1	48	0.028922
TOTAL	call	direct	0	0	0	0	1	-	void	ptr{pointer},ptr{pointer},ptr{pointer},i32,i32,ptr{pointer},ptr{pointer},i32	ptr{pointer},ptr{pointer},ptr{pointer},i32,i32,ptr{pointer},ptr{pointer},i32	48	0.028922
